crop,crop_verdict,category,canonical_name,node_a,node_b,node_c,crop_notes,disease,disease_verdict,disease_reason,disease_check
Apple,VALID,fruit,Apple,YES,YES,YES,,Fire Blight,CORRECT,"Destructive bacterial disease of apple caused by Erwinia amylovora affecting blossoms, shoots, and branches.",judged
Apple,VALID,fruit,Apple,YES,YES,YES,,Black Rot,CORRECT,"Well-known apple disease caused by Botryosphaeria obtusa causing frogeye leaf spot, fruit rot, and limb cankers.",judged
Apple,VALID,fruit,Apple,YES,YES,YES,,Cedar-Apple Rust,CORRECT,Classic apple disease caused by Gymnosporangium juniperi-virginianae requiring both apple and juniper hosts.,judged
Apple,VALID,fruit,Apple,YES,YES,YES,,Blue Mold,CORRECT,Important postharvest apple disease caused by Penicillium expansum affecting stored fruit.,judged
Arborvitae,VALID,ornamental,Arborvitae,YES,YES,YES,,Seiridium Cankers,CORRECT,"Seiridium canker, caused by Seiridium spp. (e.g., S. unicorne, S. cardinale), is a well-documented canker disease of arborvitae (Thuja) and other Cupressaceae.",judged
Ash,VALID,tree_crop,Ash,YES,YES,YES,"Refers to Fraxinus spp., cultivated as a timber and ornamental tree.",Ash Rusts,CORRECT,Ash rust caused by Puccinia sparganioides is a well-documented foliar and shoot disease of Fraxinus species.,judged
Aspen/Poplar,VALID,tree_crop,Aspen/Poplar,YES,YES,YES,"Populus species grown for timber, pulpwood, and biomass.",Marssonina Leaf Spots,CORRECT,"Marssonina spp. (e.g., M. brunnea, M. populi) are well-documented foliar pathogens causing leaf spot and premature defoliation in aspen and poplar.",judged
Aspen/Poplar,VALID,tree_crop,Aspen/Poplar,YES,YES,YES,"Populus species grown for timber, pulpwood, and biomass.",Cytospora Cankers,CORRECT,"Cytospora chrysosperma (Valsa sordida) is a widely reported canker pathogen of aspen and poplar, especially on stressed trees.",judged
Austrian Pine,VALID,ornamental,Austrian Pine,YES,YES,YES,Pinus nigra; grown as an ornamental/landscape tree and for timber and windbreaks.,Diplodia Sapinea De Not.,QUESTIONABLE,"Names the fungal pathogen (Diplodia sapinea) rather than the disease it causes, which is Diplodia tip blight (Sphaeropsis tip blight) of Austrian pine.",judged
Balsam Fir,VALID,tree_crop,Balsam Fir,YES,YES,YES,Cultivated commercially as a Christmas tree and for timber/pulpwood.,Rhizosphaera Needle Cast,QUESTIONABLE,Rhizosphaera kalkhoffii is primarily a pathogen of spruces (especially Colorado blue spruce); it is only occasionally reported on true firs and is an unusual association with balsam fir.,judged
Balsam Fir,VALID,tree_crop,Balsam Fir,YES,YES,YES,Cultivated commercially as a Christmas tree and for timber/pulpwood.,Fir-Fern Rust,CORRECT,Uredinopsis spp. cause a well-documented heteroecious rust that alternates between Abies balsamea (needles) and ferns.,judged
Barley,VALID,cereal,Barley,YES,YES,YES,,Cochliobolus Leaf Spot,QUESTIONABLE,"Cochliobolus is a pathogen genus (teleomorph of Bipolaris/Drechslera) rather than a specific disease; on barley this typically refers to spot blotch (Cochliobolus sativus) or net blotch, so the label is ambiguous.",judged
Basil,VALID,herb_spice,Basil,YES,YES,YES,,Basil Downy Mildew,CORRECT,"Basil downy mildew, caused by Peronospora belbahrii, is a well-documented and economically significant foliar disease of sweet basil worldwide.",judged
Bermudagrass,VALID,forage,Bermudagrass,YES,YES,YES,,Rust,CORRECT,Bermudagrass rust caused by Puccinia cynodontis is a well-documented foliar disease of Cynodon dactylon.,judged
Bermudagrass,VALID,forage,Bermudagrass,YES,YES,YES,,Limonomyces Fungus,QUESTIONABLE,"Limonomyces (e.g., L. roseipellis) causes pink patch on turfgrasses, but the label names the pathogen genus rather than the disease and is a less common association with bermudagrass than with cool-season turf.",judged
Birch,VALID,tree_crop,Birch,YES,YES,YES,,Powdery Mildew,CORRECT,Powdery mildew (caused by Phyllactinia guttata and other Erysiphales) is a well-documented foliar disease of birch.,judged
Birch,VALID,tree_crop,Birch,YES,YES,YES,,Marssonina Leaf Spot,QUESTIONABLE,"Marssonina leaf spot is well-known on poplar, willow, and rose; its association with birch is uncommon and not a standard birch disease.",judged
Black Cherry,VALID,fruit,Black Cherry,YES,YES,YES,,Black Knot,CORRECT,"Black knot, caused by Apiosporina morbosa, is a well-documented fungal disease that commonly affects Prunus serotina (black cherry), producing characteristic black, swollen galls on twigs and branches.",judged
Black Walnut,VALID,nut_crop,Black Walnut,YES,YES,YES,,Thousand Cankers Disease,CORRECT,Thousand Cankers Disease is a well-documented lethal disease of black walnut (Juglans nigra) caused by the fungus Geosmithia morbida vectored by the walnut twig beetle (Pityophthorus juglandis).,judged
Bleeding Heart,VALID,ornamental,Bleeding Heart,YES,YES,YES,,Tobacco Rattle Virus,CORRECT,"Tobacco Rattle Virus is a well-documented viral pathogen known to infect Bleeding Heart (Dicentra/Lamprocapnos spectabilis), causing ringspot and mosaic symptoms.",judged
Blue Spruce,VALID,ornamental,Blue Spruce,YES,YES,YES,"Picea pungens, cultivated as an ornamental/Christmas tree.",Ceropsora Weirii,QUESTIONABLE,Almost certainly a misspelling of the pathogen Chrysomyxa weirii (Weir's cushion rust); label names a pathogen rather than a disease and the genus 'Ceropsora' is not valid.,judged
Blue Spruce,VALID,ornamental,Blue Spruce,YES,YES,YES,"Picea pungens, cultivated as an ornamental/Christmas tree.",Spruce Needle Rusts,CORRECT,"Well-documented group of Chrysomyxa rust diseases that affect spruce species, including blue spruce.",judged
Blue Spruce,VALID,ornamental,Blue Spruce,YES,YES,YES,"Picea pungens, cultivated as an ornamental/Christmas tree.",Rhizosphaera Needle Cast,CORRECT,Rhizosphaera kalkhoffii is a classic and highly prevalent needle cast pathogen of Picea pungens (blue spruce).,judged
Boxwood,VALID,ornamental,Boxwood,YES,YES,YES,,Boxwood Blight,CORRECT,Well-documented destructive disease of boxwood caused by Calonectria pseudonaviculata.,judged
Boxwood,VALID,ornamental,Boxwood,YES,YES,YES,,Pseudonectria Buxi B.O. Dodge,QUESTIONABLE,Names the pathogen (with taxonomic authority) rather than the disease; the corresponding disease is Volutella blight/canker of boxwood.,judged
Brazilian Gloxinia,VALID,ornamental,Brazilian Gloxinia,YES,YES,YES,,Tomato Spotted Wilt Virus,CORRECT,"Tomato spotted wilt virus (TSWV) is a well-documented tospovirus with a very broad host range that includes Sinningia speciosa (Brazilian gloxinia), causing ringspots, chlorotic blotches, and stunting.",judged
Broccoli,VALID,vegetable,Broccoli,YES,YES,YES,,Downy Mildew,CORRECT,Downy mildew caused by Hyaloperonospora parasitica (syn. Peronospora parasitica) is a well-documented and economically important disease of broccoli and other Brassica crops.,judged
Buckeye,VALID,ornamental,Buckeye,YES,YES,YES,"Aesculus spp.; grown ornamentally and for timber, though seeds are toxic if not processed.",Guignardia Blotch Of Buckeyes And Horsechestnuts,CORRECT,"Guignardia leaf blotch, caused by Guignardia aesculi, is a well-documented foliar disease of Aesculus species including buckeyes and horsechestnuts.",judged
Burley Tobacco,VALID,other,Burley Tobacco,YES,YES,YES,Light air-cured variety of Nicotiana tabacum grown commercially for cigarette blends.,Blue Mold,CORRECT,Blue mold caused by Peronospora tabacina is a major foliar disease of burley tobacco worldwide.,judged
Burley Tobacco,VALID,other,Burley Tobacco,YES,YES,YES,Light air-cured variety of Nicotiana tabacum grown commercially for cigarette blends.,"Rhizoctonia Damping-Off, Blight And Rot",CORRECT,Rhizoctonia solani causes damping-off in float beds and target spot/sore shin on field tobacco including burley.,judged
Burley Tobacco,VALID,other,Burley Tobacco,YES,YES,YES,Light air-cured variety of Nicotiana tabacum grown commercially for cigarette blends.,Tomato Spotted Wilt Virus,CORRECT,TSWV (genus Orthotospovirus) is a well-documented thrips-transmitted virus of tobacco causing necrotic ringspots and stunting in burley.,judged
Cabbage,VALID,vegetable,Cabbage,YES,YES,YES,,Downy Mildew,CORRECT,Peronospora parasitica is a well-documented foliar disease of cabbage and other crucifers.,judged
Cabbage,VALID,vegetable,Cabbage,YES,YES,YES,,Bacterial Soft Rot,CORRECT,Pectobacterium/Erwinia-induced soft rot is a major postharvest and field disease of cabbage heads.,judged
Cabbage,VALID,vegetable,Cabbage,YES,YES,YES,,Phytophthora Root And Stem Rot,QUESTIONABLE,"Phytophthora root/stem rot is not a commonly reported disease of cabbage; crucifers are more typically affected by Phytophthora porri or P. brassicae in rare cases, making this an unusual association.",judged
Cabbage,VALID,vegetable,Cabbage,YES,YES,YES,,Black Rot Of Crucifers,CORRECT,Xanthomonas campestris pv. campestris black rot is the most important bacterial disease of cabbage worldwide.,judged
Cabbage,VALID,vegetable,Cabbage,YES,YES,YES,,Club Root Of Crucifers,CORRECT,Plasmodiophora brassicae clubroot is a classic and devastating soil-borne disease of cabbage.,judged
Cabbage Collards And Kale,MISSPELLED_OR_UNSTANDARDISED,vegetable,"Cabbage, Collards, and Kale",YES,YES,NO,Composite grouping of three distinct Brassica oleracea crops; should be split or comma-separated rather than combined as one crop name.,Alternaria Black Molds / Stem Cankers,QUESTIONABLE,"Alternaria (A. brassicae/A. brassicicola) causes black/dark leaf spot on brassicas, but 'black molds / stem cankers' is an atypical and imprecise descriptor for this disease on cabbage, collards, and kale.",judged
Camellia,VALID,ornamental,Camellia,YES,YES,YES,"Genus name; commonly grown as ornamental, though Camellia sinensis is the tea plant (beverage crop).",Sudden Oak Death,QUESTIONABLE,"Phytophthora ramorum does infect Camellia (as a foliar/twig host and major nursery carrier), but the disease name 'Sudden Oak Death' refers to the lethal oak syndrome — on Camellia it is properly called Ramorum blight/dieback.",judged
Camellia,VALID,ornamental,Camellia,YES,YES,YES,"Genus name; commonly grown as ornamental, though Camellia sinensis is the tea plant (beverage crop).",Camellia Flower Blight,CORRECT,"Well-documented disease of Camellia caused by Ciborinia camelliae, producing brown petal lesions and rapid flower collapse.",judged
"Cane Fruit (Blackberry, Raspberry)",VALID,fruit,"Cane Fruit (Blackberry, Raspberry)",YES,YES,YES,"Group label covering Rubus cane fruits (blackberry, raspberry).",Orange Rust,CORRECT,Orange rust (Arthuriomyces peckianus / Gymnoconia nitens) is a well-documented systemic rust disease of blackberry and black raspberry.,judged
Carrot,VALID,root_tuber,Carrot,YES,YES,YES,,Alternaria Black Molds / Stem Cankers,QUESTIONABLE,"Alternaria can cause black mold on carrot roots in storage, but 'stem cankers' is not a standard carrot disease term and the combined label is vague.",judged
Carrot,VALID,root_tuber,Carrot,YES,YES,YES,,Alternaria Blight,CORRECT,Alternaria leaf blight (Alternaria dauci) is a well-documented and economically important foliar disease of carrot.,judged
Cedar,VALID,tree_crop,Cedar,YES,YES,YES,,Cryptosporiopsis Canker,QUESTIONABLE,"Cryptosporiopsis cankers are well-documented on hardwoods (e.g., aspen, oak) but are not a typical or well-established canker disease of Cedar (Cedrus or Thuja); cedar cankers are more commonly attributed to Seiridium, Botryosphaeria, or Kabatina.",judged
Chickpea,VALID,legume,Chickpea,YES,YES,YES,,Ascochyta Blight Of Chickpea,CORRECT,"Ascochyta blight, caused by Ascochyta rabiei, is one of the most economically important and well-documented fungal diseases of chickpea worldwide.",judged
Chinese Cabbage,VALID,vegetable,Chinese Cabbage,YES,YES,YES,,"Rhizoctonia Damping-Off, Blight And Rot",CORRECT,"Rhizoctonia solani is a well-documented soilborne pathogen causing damping-off, wirestem, bottom rot and head rot on Chinese cabbage and other brassicas.",judged
Chokeberry,VALID,fruit,Chokeberry,YES,YES,YES,,Entomosporium Leaf Spot,CORRECT,"Entomosporium leaf spot, caused by Entomosporium mespili (Diplocarpon mespili), is a well-documented foliar disease of chokeberry (Aronia) and other Rosaceae.",judged
Citrus,VALID,fruit,Citrus,YES,YES,YES,,Citrus Canker,CORRECT,"Citrus canker is a well-documented bacterial disease of citrus caused by Xanthomonas citri subsp. citri, producing raised corky lesions on leaves, fruit, and stems.",judged
Coast Live Oak,NON_CROP,other,Coast Live Oak (Quercus agrifolia),YES,NO,N/A,"Native California wild oak; ecologically important and sometimes planted as an ornamental shade tree, but not cultivated as an agricultural or horticultural crop.",,,,skipped: Crop verdict is NON_CROP
Coleus,VALID,ornamental,Coleus,YES,YES,YES,,Downy Mildew,CORRECT,"Downy mildew caused by Peronospora belbahrii (and related Peronospora spp.) is a well-documented foliar disease of Coleus (Plectranthus scutellarioides) causing leaf yellowing, defoliation, and characteristic sporulation on leaf undersides.",judged
Common Bean,VALID,legume,Common Bean,YES,YES,YES,,Beet Curly Top Virus,CORRECT,"Beet curly top virus (BCTV) is a well-documented leafhopper-transmitted geminivirus that infects common bean, causing curly top disease.",judged
Common Bean,VALID,legume,Common Bean,YES,YES,YES,,Halo Blight,CORRECT,"Halo blight, caused by Pseudomonas savastanoi pv. phaseolicola, is a major bacterial disease of common bean.",judged
Common Bean,VALID,legume,Common Bean,YES,YES,YES,,Sclerotinia Timber Rot,QUESTIONABLE,'Timber rot' is the tomato-specific common name for Sclerotinia sclerotiorum; on common bean this disease is properly called white mold or Sclerotinia stem rot.,judged
Common Bean,VALID,legume,Common Bean,YES,YES,YES,,Dry Bean Rust,CORRECT,Bean rust caused by Uromyces appendiculatus is a well-known fungal disease of common (dry) bean.,judged
Common Bean,VALID,legume,Common Bean,YES,YES,YES,,"Common Bacterial  Blight Of Beans, Fuscous Blight",CORRECT,Common bacterial blight (Xanthomonas axonopodis pv. phaseoli) and fuscous blight (var. fuscans) are the recognized bacterial blights of common bean.,judged
Common Beet,VALID,vegetable,Beet,YES,YES,YES,,"Rhizoctonia Damping-Off, Blight And Rot",CORRECT,"Rhizoctonia solani is a well-documented soilborne pathogen of sugar/common beet causing seedling damping-off, crown/root rot, and foliar blight.",judged
Common Filbert,VALID,nut_crop,Common Filbert,YES,YES,YES,Also known as common hazel (Corylus avellana); cultivated for hazelnuts.,Eastern Filbert Blight,CORRECT,"Eastern Filbert Blight, caused by Anisogramma anomala, is a well-documented and economically significant fungal disease of Corylus avellana (Common Filbert/Hazelnut).",judged
Common Lilac,VALID,ornamental,Common Lilac,YES,YES,YES,,Cladosporium Fungi,QUESTIONABLE,Names a fungal genus rather than a specific disease; Cladosporium can cause minor leaf spot on lilac but the label is vague.,judged
Common Lilac,VALID,ornamental,Common Lilac,YES,YES,YES,,Anthracnose,QUESTIONABLE,Anthracnose is a real disease group but is not a commonly documented or significant disease of common lilac (Syringa vulgaris).,judged
Common Ninebark,VALID,ornamental,Common Ninebark,YES,YES,YES,"Physocarpus opulifolius, a deciduous shrub widely grown as an ornamental landscape plant.",Powdery Mildew,CORRECT,Powdery mildew (commonly caused by Podosphaera species) is a well-documented and frequently observed foliar disease of Physocarpus opulifolius (common ninebark).,judged
Common Pear,VALID,fruit,Common Pear,YES,YES,YES,,Pear Scab,CORRECT,Pear scab caused by Venturia pyrina is a well-documented fungal disease of common pear affecting leaves and fruit.,judged
Common Pear,VALID,fruit,Common Pear,YES,YES,YES,,Bitter Rot And Anthracnose,QUESTIONABLE,"Bitter rot (Colletotrichum spp.) and anthracnose are real diseases that can affect pear, but bundling two distinct disease names into one label is vague and conflates separate conditions.",judged
Common Sunflower,VALID,oilseed,Common Sunflower,YES,YES,YES,,Rust,CORRECT,Sunflower rust caused by Puccinia helianthi is a well-documented and economically important disease of common sunflower worldwide.,judged
Common Sunflower,VALID,oilseed,Common Sunflower,YES,YES,YES,,Sclerotinia Timber Rot,QUESTIONABLE,"Sclerotinia sclerotiorum does cause head, stalk, and basal rot in sunflower, but 'Timber Rot' is a name typically applied to Sclerotinia stem rot of tomato and is not a standard name for any sunflower disease.",judged
Corn,VALID,cereal,Corn,YES,YES,YES,,Southern Corn Rust,CORRECT,Well-documented rust disease of corn caused by Puccinia polysora.,judged
Corn,VALID,cereal,Corn,YES,YES,YES,,Bacterial Rot And Blight,QUESTIONABLE,Vague umbrella term; corn has several distinct bacterial rots/blights that should be named specifically.,judged
Corn,VALID,cereal,Corn,YES,YES,YES,,Corn Smut,CORRECT,Common smut of corn caused by Ustilago maydis is a well-known disease.,judged
Corn,VALID,cereal,Corn,YES,YES,YES,,Common Corn Rust,CORRECT,Standard rust disease of corn caused by Puccinia sorghi.,judged
Corn,VALID,cereal,Corn,YES,YES,YES,,Xanthomonas Vasicola,QUESTIONABLE,Names the pathogen (X. vasicola pv. vasculorum causes bacterial leaf streak of corn) rather than the disease itself.,judged
Corn,VALID,cereal,Corn,YES,YES,YES,,Gray Leaf Spot,CORRECT,Major foliar disease of corn caused by Cercospora zeae-maydis.,judged
Corn,VALID,cereal,Corn,YES,YES,YES,,Goss' Bacterial Wilt,CORRECT,"Goss's bacterial wilt and blight, caused by Clavibacter nebraskensis, is a well-known corn disease.",judged
Corn,VALID,cereal,Corn,YES,YES,YES,,Northern Corn Leaf Blight,CORRECT,Well-documented foliar disease of corn caused by Exserohilum turcicum.,judged
Corn,VALID,cereal,Corn,YES,YES,YES,,Brown Spot Of Corn,CORRECT,Brown spot of corn caused by Physoderma maydis is a recognized disease.,judged
Corn,VALID,cereal,Corn,YES,YES,YES,,White Ear Rot And Seedling Blight Of Maize,CORRECT,"Known disease complex of maize, typically associated with Stenocarpella maydis (Diplodia).",judged
Corn,VALID,cereal,Corn,YES,YES,YES,,Anthracnose,CORRECT,Anthracnose leaf blight and stalk rot of corn is caused by Colletotrichum graminicola.,judged
Corn,VALID,cereal,Corn,YES,YES,YES,,Fusarium Graminearum Schwabe,QUESTIONABLE,Names the pathogen species rather than the disease (Gibberella ear/stalk rot of corn).,judged
Corn,VALID,cereal,Corn,YES,YES,YES,,Downy Mildew,CORRECT,"Several Peronosclerospora spp. cause downy mildews of corn, particularly in tropical regions.",judged
Corn,VALID,cereal,Corn,YES,YES,YES,,Dry Rot Of Ears And Stalks Of Maize,CORRECT,Diplodia dry rot of ears and stalks (Stenocarpella maydis) is a recognized maize disease.,judged
Cornelian Cherry Dogwood,VALID,fruit,Cornelian Cherry Dogwood,YES,YES,YES,,Brown Rot,QUESTIONABLE,"Brown rot (Monilinia spp.) is primarily a disease of stone fruits (Prunus); while Cornus mas fruits can occasionally develop fungal rots, brown rot is not a well-documented or characteristic disease of Cornelian Cherry Dogwood.",judged
Cotton,VALID,fiber_crop,Cotton,YES,YES,YES,,Corynespora Leaf Spot,CORRECT,"Corynespora leaf spot, caused by Corynespora cassiicola, is a well-documented foliar disease of cotton that produces target-like necrotic lesions on leaves.",judged
Cowpea,VALID,legume,Cowpea,YES,YES,YES,,Flower Blights,QUESTIONABLE,"Generic symptom-based label rather than a specific named disease; cowpea flowers can be affected by Choanephora blight or Botrytis, but 'Flower Blights' alone is too vague to identify the causal pathogen.",judged
Crabapple And Apple,MISSPELLED_OR_UNSTANDARDISED,fruit,Apple (incl. crabapple),YES,YES,NO,Combined entry grouping crabapple (Malus spp.) with cultivated apple (Malus domestica); should be split or standardised.,Japanese Apple Rust,CORRECT,Japanese apple rust (Gymnosporangium yamadae) is a well-documented rust disease affecting apple and crabapple (Malus spp.) foliage and fruit.,judged
Creeping Bentgrass,VALID,forage,Creeping Bentgrass,YES,YES,YES,"Agrostis stolonifera; primarily cultivated as a turfgrass for golf greens and lawns rather than forage, but falls under cultivated grass crops.",Anthracnose,CORRECT,"Anthracnose, caused by Colletotrichum cereale, is a well-documented foliar blight and basal rot disease of creeping bentgrass on golf course greens.",judged
Creeping Bentgrass,VALID,forage,Creeping Bentgrass,YES,YES,YES,"Agrostis stolonifera; primarily cultivated as a turfgrass for golf greens and lawns rather than forage, but falls under cultivated grass crops.",Dollar Spot,CORRECT,"Dollar spot, caused by Clarireedia jacksonii (formerly Sclerotinia homoeocarpa), is one of the most economically important diseases of creeping bentgrass turf.",judged
Crimson Fountaingrass,VALID,ornamental,Crimson Fountaingrass,YES,YES,YES,Pennisetum setaceum 'Rubrum'; grown as an ornamental grass.,Take-All Root Rot,QUESTIONABLE,Take-all root rot (Gaeumannomyces graminis) primarily affects turfgrasses and cereals; its association with ornamental Crimson Fountaingrass (Pennisetum setaceum 'Rubrum') is not well-documented in standard plant pathology literature.,judged
Cucumber,VALID,vegetable,Cucumber,YES,YES,YES,,Cucurbit Downy Mildew,CORRECT,Pseudoperonospora cubensis is a major downy mildew disease of cucumber and other cucurbits.,judged
Cucumber,VALID,vegetable,Cucumber,YES,YES,YES,,Anthracnose,CORRECT,"Colletotrichum orbiculare causes anthracnose, a well-documented foliar and fruit disease of cucumber.",judged
Cucumber,VALID,vegetable,Cucumber,YES,YES,YES,,Angular Leaf Spot Of Cucumber,CORRECT,Pseudomonas syringae pv. lachrymans is the classic bacterial angular leaf spot pathogen of cucumber.,judged
Cucumber,VALID,vegetable,Cucumber,YES,YES,YES,,Phytophthora Blight,CORRECT,"Phytophthora capsici causes crown, fruit, and foliar blight on cucumber and other cucurbits.",judged
Cucumber,VALID,vegetable,Cucumber,YES,YES,YES,,Scab,CORRECT,Cucurbit scab caused by Cladosporium cucumerinum is a well-known disease of cucumber.,judged
Cucumber,VALID,vegetable,Cucumber,YES,YES,YES,,Powdery Mildew,CORRECT,Podosphaera xanthii and Erysiphe cichoracearum are well-documented powdery mildew pathogens of cucumber.,judged
Cucumber,VALID,vegetable,Cucumber,YES,YES,YES,,Corynespora Leaf Spot,CORRECT,"Corynespora cassiicola causes target leaf spot on cucumber, especially in greenhouse production.",judged
Cucumber,VALID,vegetable,Cucumber,YES,YES,YES,,Pythium Diseases,QUESTIONABLE,"Pythium spp. do cause damping-off and root rot on cucumber, but the label names a pathogen genus rather than a specific disease.",judged
Cucumber,VALID,vegetable,Cucumber,YES,YES,YES,,Bacterial Wilt,CORRECT,"Erwinia tracheiphila, vectored by cucumber beetles, causes bacterial wilt of cucumber.",judged
Cucumber,VALID,vegetable,Cucumber,YES,YES,YES,,"Rhizoctonia Damping-Off, Blight And Rot",CORRECT,"Rhizoctonia solani causes damping-off, belly rot, and foliar blight on cucumber.",judged
Cucumber,VALID,vegetable,Cucumber,YES,YES,YES,,Gummy Stem Blight,CORRECT,Stagonosporopsis cucurbitacearum (formerly Didymella bryoniae) causes gummy stem blight and black rot on cucumber.,judged
Cultivated Garlic,VALID,herb_spice,Garlic,YES,YES,YES,,Alternaria Embellisia Togashi,QUESTIONABLE,"Not a disease name; it strings together two fungal genera (Alternaria, Embellisia) and what appears to be a taxonomic authority, though Embellisia allii does cause skin blotch on garlic.",judged
Cultivated Garlic,VALID,herb_spice,Garlic,YES,YES,YES,,Gray Molds,CORRECT,"Gray mold / Botrytis neck rot (Botrytis porri, B. allii, B. cinerea) is a well-documented field and storage disease of garlic, though the plural form is imprecise.",judged
Cultivated Garlic,VALID,herb_spice,Garlic,YES,YES,YES,,Onion Rust,CORRECT,"Rust caused by Puccinia allii (P. porri) is a well-known foliar disease of garlic and other Alliums, often called garlic/leek/onion rust interchangeably.",judged
Cultivated Garlic,VALID,herb_spice,Garlic,YES,YES,YES,,Bread Mold,QUESTIONABLE,"Colloquial term for Rhizopus/Neurospora; Rhizopus soft rot of garlic bulbs in storage does exist, but 'bread mold' is not a standard phytopathological disease label.",judged
Cultivated Garlic,VALID,herb_spice,Garlic,YES,YES,YES,,White Rot,CORRECT,White rot caused by Stromatinia cepivora (Sclerotium cepivorum) is one of the most destructive soilborne diseases of cultivated garlic.,judged
Curly Dock,NON_CROP,other,Curly Dock,YES,NO,N/A,"Rumex crispus is a weedy wild plant, not cultivated as an agricultural or horticultural crop.",,,,skipped: Crop verdict is NON_CROP
Daphne,VALID,ornamental,Daphne,YES,YES,YES,,Tubercularia Cankers,CORRECT,"Tubercularia canker (caused by Tubercularia spp., anamorph of Nectria) is a documented canker disease affecting Daphne shrubs.",judged
Dark Tobacco,VALID,other,Dark Tobacco,YES,YES,YES,Dark (air- or fire-cured) tobacco is a recognized commercial class of Nicotiana tabacum.,Phytophthora Blight,CORRECT,"Phytophthora nicotianae causes black shank/Phytophthora blight, a well-documented and economically important disease of dark tobacco.",judged
